user_id,amount,hour,day_of_week,merchant_category,device_type,distance_from_home_km,is_foreign,is_high_risk_merchant,has_history_of_chargeback,is_fraud
3157,157941.53,21,3,education,mobile,7.91,0,0,0,0
2490,238439.08,18,2,telecom,mobile,15.11,0,0,1,1
2539,64228.72,6,1,restaurants,desktop,7.16,0,0,0,0
4610,88487.96,16,1,fashion,mobile,0.51,0,0,0,0
2376,176780.87,14,4,telecom,desktop,4.84,0,0,0,0
1065,1499032.29,13,4,electronics,mobile,8.83,0,1,0,1
2139,71897.92,20,1,utilities,mobile,1.27,0,0,0,0
2660,1258011.91,15,2,fashion,mobile,7.46,0,0,0,1
1403,95708.96,17,3,grocery,mobile,5.07,0,0,0,0
2027,559337.83,0,5,restaurants,mobile,13.63,0,0,0,1
4112,487346.95,9,2,grocery,mobile,13.46,0,0,0,1
1496,343211.64,22,5,crypto,desktop,5.98,0,1,0,1
3340,44200.82,17,1,utilities,mobile,8.4,0,0,0,0
3215,523989.79,9,2,grocery,mobile,2.5,0,0,0,1
2137,245463.37,9,3,restaurants,desktop,0.34,0,0,0,1
2051,814027.48,14,6,electronics,desktop,9.15,0,1,0,1
3824,169995.62,3,6,electronics,desktop,25.5,0,1,0,1
4717,418281.82,8,6,travel,mobile,7.13,0,1,0,1
2817,130934.99,20,5,electronics,desktop,19.38,0,1,0,1
1155,570833.33,19,4,restaurants,mobile,16.01,0,0,0,1
2095,126614.84,23,2,restaurants,mobile,12.17,0,0,0,0
4330,294264.88,17,5,insurance,mobile,15.92,0,0,0,1
1402,189777.01,18,1,fuel,desktop,10.15,0,0,0,0
3195,151184.5,18,5,healthcare,mobile,18.87,0,0,0,0
3789,61424.98,20,6,electronics,mobile,0.79,0,1,0,1
1966,195713.17,20,6,education,desktop,1.12,0,0,0,0
2286,214183.99,3,1,grocery,mobile,7.65,0,0,0,1
3853,17068.12,2,5,fashion,mobile,7.92,0,0,0,0
4458,227598.45,4,1,healthcare,desktop,10.78,0,0,0,1
1569,185693.41,16,1,fashion,mobile,9.16,0,0,0,0
2315,40176.15,4,3,fashion,mobile,7.32,0,0,0,0
1602,497887.12,19,5,utilities,desktop,2.96,0,0,0,1
1937,308404.76,7,3,jewelry,mobile,4.91,0,1,0,1
3012,230966.59,21,5,fashion,mobile,1.4,0,0,0,1
2712,411982.12,0,0,restaurants,mobile,5.16,1,0,0,1
2265,151330.58,1,1,electronics,mobile,2.18,0,1,0,1
3153,173771.29,22,2,utilities,mobile,13.59,0,0,0,0
3194,344899.03,6,0,grocery,mobile,0.1,0,0,0,1
2280,191698.46,17,4,utilities,mobile,1.34,0,0,0,0
2325,756421.33,18,2,healthcare,desktop,5.59,0,0,0,1
1766,34948.81,11,5,restaurants,mobile,3.13,0,0,0,0
4806,31958.32,23,0,restaurants,desktop,19.88,0,0,0,0
4991,636845.72,7,5,jewelry,mobile,26.08,0,1,0,1
1317,81478.61,23,5,grocery,desktop,19.26,1,0,0,1
2700,123187.77,8,6,telecom,mobile,7.09,0,0,0,0
4844,224222.01,23,3,healthcare,mobile,0.85,0,0,0,1
4397,163008.68,19,6,fashion,mobile,6.86,0,0,0,0
4846,112327.22,0,6,insurance,mobile,9.09,0,0,0,1
